speed, noise, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times
1, 0, 0.0468647, 0, 1.38428, 0, 0.0272741, 0.00785899
1, 0.002, 0.0583273, 0.027823, 1.39428, 0.0234355, 0.0228206, 0.000777854
1, 0.004, 0.0728651, 0.0459429, 1.38277, 0.0357768, 0.022951, 0.000999047
1, 0.006, 0.0823921, 0.0404668, 1.36676, 0.0427961, 0.0227952, 0.000739736
1, 0.008, 0.0836077, 0.044739, 1.34048, 0.0541848, 0.0231954, 0.00109106
1, 0.01, 0.0897495, 0.0519345, 1.32038, 0.0538137, 0.0237223, 0.00166373
1.5, 0, 0.0221645, 0, 1.49424, 0, 0.0146979, 8.23783e-05
1.5, 0.002, 0.0432149, 0.0260385, 1.49535, 0.0121044, 0.0147765, 0.000367944
1.5, 0.004, 0.0675469, 0.0464844, 1.49682, 0.0246342, 0.0147548, 0.000378396
1.5, 0.006, 0.0921199, 0.0511873, 1.48376, 0.0436359, 0.0149288, 0.000761195
1.5, 0.008, 0.117641, 0.0558953, 1.46281, 0.0543082, 0.0150915, 0.000845317
1.5, 0.01, 0.135005, 0.0665873, 1.44112, 0.0692117, 0.0153755, 0.00110527
2, 0, 0.130876, 0, 1.5368, 0, 0.0106341, 4.79926e-05
2, 0.002, 0.132089, 0.0123371, 1.52055, 0.020591, 0.0108196, 0.000302384
2, 0.004, 0.137391, 0.0348865, 1.51303, 0.046906, 0.0108214, 0.000384425
2, 0.006, 0.129014, 0.0557541, 1.48975, 0.0568911, 0.0110443, 0.000589761
2, 0.008, 0.129085, 0.05449, 1.47791, 0.0530849, 0.011116, 0.000524887
2, 0.01, 0.133558, 0.0563374, 1.45996, 0.0599493, 0.0113156, 0.000820519
2.5, 0, 0.096083, 0, 1.62004, 0, 0.00892445, 0.000200461
2.5, 0.002, 0.138935, 0.0545435, 1.63434, 0.0120507, 0.0086138, 0.00026577
2.5, 0.004, 0.149627, 0.0541883, 1.63179, 0.0192554, 0.00863615, 0.000344782
2.5, 0.006, 0.155185, 0.0578168, 1.62874, 0.0265869, 0.008628, 0.000356902
2.5, 0.008, 0.152959, 0.0653145, 1.61807, 0.0358566, 0.0085627, 0.000332291
2.5, 0.01, 0.152455, 0.0639891, 1.60717, 0.0503029, 0.00856675, 0.000372049
