speed, noise, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times, mean_max_cost, std_max_cost, mean_avg_cost, std_avg_cost
1, 0, 0.107501, 0, 1.4326, 0, 0.103383, 0.0130185, 0.333494, 0, 0.02264, 0
1, 0.002, 0.0577275, 0.0255663, 1.43425, 0.0152662, 0.082564, 0.0251094, 0.361793, 0.0322527, 0.0252388, 0.00298603
1, 0.004, 0.0622763, 0.0359608, 1.4164, 0.02744, 0.0939174, 0.0472576, 0.361009, 0.054963, 0.0242124, 0.00357216
1, 0.006, 0.0811881, 0.0328823, 1.42307, 0.128589, 0.358757, 1.0252, 0.372506, 0.092103, 0.02509, 0.00638745
1, 0.008, 0.0717307, 0.0463955, 1.46993, 0.277819, 1.04403, 2.75481, 0.355272, 0.10675, 0.0214947, 0.00931485
1, 0.01, 0.0776092, 0.0340805, 1.65046, 0.439529, 0.879562, 1.21042, 0.321211, 0.0926764, 0.0165841, 0.0114925
1.5, 0, 0.0819392, 1.38778e-17, 1.3919, 0, 0.0304975, 0.00426967, 0.321031, 0, 0.0296971, 0
1.5, 0.002, 0.0642178, 0.0266518, 1.40309, 0.0268721, 0.0388571, 0.0134568, 0.379118, 0.0517707, 0.0284369, 0.00266357
1.5, 0.004, 0.0836407, 0.0399861, 1.38667, 0.025177, 0.0387244, 0.0118564, 0.375819, 0.060313, 0.0273306, 0.00337141
1.5, 0.006, 0.0943689, 0.0460255, 1.38045, 0.0351732, 0.0557061, 0.0517807, 0.339165, 0.0752822, 0.0255985, 0.00601776
1.5, 0.008, 0.0944077, 0.0468356, 1.41374, 0.217124, 0.196151, 0.587117, 0.321334, 0.0851284, 0.0200591, 0.00750121
1.5, 0.01, 0.0982055, 0.0533461, 1.47705, 0.309986, 0.261997, 0.516391, 0.337927, 0.0684734, 0.0204943, 0.00909027
2, 0, 0.0535289, 0, 1.36774, 2.22045e-16, 0.0225227, 0.00328696, 0.310989, 5.55112e-17, 0.0329777, 0
2, 0.002, 0.0661514, 0.0266933, 1.40439, 0.0313189, 0.0218097, 0.00380732, 0.304532, 0.0305256, 0.0283443, 0.00362367
2, 0.004, 0.0947213, 0.0561951, 1.40068, 0.0457548, 0.0227905, 0.00493334, 0.31856, 0.0621428, 0.0269166, 0.00515034
2, 0.006, 0.0954394, 0.0594805, 1.40522, 0.0428582, 0.0218442, 0.00436645, 0.317676, 0.089138, 0.0244651, 0.00623664
2, 0.008, 0.0909939, 0.0559397, 1.45118, 0.252042, 0.0596163, 0.15524, 0.318002, 0.0872125, 0.022402, 0.00854052
2, 0.01, 0.108639, 0.0579611, 1.44236, 0.304032, 0.119769, 0.419347, 0.306414, 0.0967421, 0.0232825, 0.00859643
2.5, 0, 0.13707, 0, 1.47558, 0, 0.0165012, 0.0029072, 0.274678, 5.55112e-17, 0.0304649, 0
2.5, 0.002, 0.103386, 0.0349005, 1.5006, 0.0638392, 0.0160284, 0.00346372, 0.305991, 0.0232411, 0.0311542, 0.00357914
2.5, 0.004, 0.115268, 0.0512744, 1.49109, 0.0714048, 0.0164747, 0.00388701, 0.303561, 0.0403698, 0.028694, 0.00475428
2.5, 0.006, 0.140623, 0.0642846, 1.51592, 0.154142, 0.253194, 1.02725, 0.312029, 0.0578555, 0.0262503, 0.0077702
2.5, 0.008, 0.147926, 0.0747736, 1.49078, 0.0842085, 0.0162846, 0.00416825, 0.320281, 0.0841981, 0.0259835, 0.00738217
2.5, 0.01, 0.165304, 0.05266, 1.48523, 0.0997565, 0.0166658, 0.00467761, 0.323734, 0.0889008, 0.0248991, 0.00725593
3, 0, 0.055411, 6.93889e-18, 1.57634, 0, 0.0112037, 0.00159515, 0.288284, 0, 0.0301266, 3.46945e-18
3, 0.002, 0.0929421, 0.0247029, 1.61041, 0.0344899, 0.0102322, 0.00202099, 0.279086, 0.0330769, 0.0296479, 0.00401567
3, 0.004, 0.114073, 0.0467457, 1.60589, 0.0508643, 0.010433, 0.00156782, 0.277477, 0.0545039, 0.0284956, 0.00566374
3, 0.006, 0.135716, 0.0494578, 1.59201, 0.0658793, 0.0108483, 0.00217244, 0.271659, 0.0455336, 0.0283715, 0.00498111
