speed, noise, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times
1, 0, 0.056883, 6.93889e-18, 0.974458, 1.11022e-16, 10.1153, 0.0327565
1, 0.002, 0.0627243, 0.0283001, 0.968637, 0.0181593, 10.1336, 0.0776543
1, 0.004, 0.0987614, 0.0529002, 0.973581, 0.0421221, 12.9765, 5.97885
1, 0.006, 0.118565, 0.0565807, 1.01514, 0.0693074, 26.4705, 15.2131
1, 0.008, 0.118981, 0.0717722, 1.03593, 0.077589, 81.9562, 82.5718
1, 0.01, 0.109851, 0.0544807, 1.04634, 0.0877113, 146.773, 105.939
1.5, 0, 0.0848133, 0, 1.00551, 0, 9.94775, 0.145945
1.5, 0.002, 0.122778, 0.0270743, 1.00734, 0.00855149, 10.0062, 0.15807
1.5, 0.004, 0.15904, 0.0419525, 1.01111, 0.018701, 10.4958, 1.2095
1.5, 0.006, 0.125435, 0.0400681, 1.0389, 0.0545617, 19.6884, 14.2002
1.5, 0.008, 0.105551, 0.0648114, 1.02053, 0.0560806, 35.4682, 13.9238
1.5, 0.01, 0.138442, 0.081334, 1.05586, 0.0707278, 63.5685, 39.1965
2, 0, 0.1422, 0, 1.06712, 0, 13.3122, 0.245462
2, 0.002, 0.125421, 0.0433515, 1.06719, 0.0145697, 13.1822, 0.0376928
2, 0.004, 0.112013, 0.0672722, 1.06416, 0.0256302, 13.1681, 0.0282727
2, 0.006, 0.123532, 0.066063, 1.07076, 0.0554459, 13.8998, 2.80269
2, 0.008, 0.136994, 0.0488395, 1.08377, 0.0575251, 15.9285, 4.46388
2, 0.01, 0.17567, 0.075214, 1.11144, 0.0653297, 18.0914, 4.88547
2.5, 0, 0.41031, 5.55112e-17, 1.16536, 0, 4.62414, 0.0856636
2.5, 0.002, 0.408977, 0.0197367, 1.16658, 0.0116978, 4.60579, 0.0660555
2.5, 0.004, 0.393657, 0.0513887, 1.16679, 0.0236114, 4.62907, 0.0755256
2.5, 0.006, 0.362442, 0.0761648, 1.16837, 0.0389479, 4.60323, 0.0565356
2.5, 0.008, 0.328733, 0.100402, 1.18127, 0.0543369, 5.56438, 1.81967
2.5, 0.01, 0.301096, 0.10167, 1.18759, 0.0664061, 6.73149, 2.46116
