speed, noise, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times
1, 0, 0.125138, 0, 0.977911, 1.11022e-16, 21.7416, 0.439906
1, 0.002, 0.0934117, 0.0385886, 0.985237, 0.0181666, 21.9254, 1.35254
1, 0.004, 0.0651114, 0.0337698, 1.03848, 0.0549545, 33.152, 11.354
1, 0.006, 0.0986996, 0.0654611, 1.04796, 0.0523387, 64.4641, 28.1589
1, 0.008, 0.117128, 0.0516033, 1.04231, 0.0633976, 122.866, 63.1337
1, 0.01, 0.0670108, 0.0316767, 1.06109, 0.101342, 177.234, 108.139
1.5, 0, 0.203925, 0, 1.0692, 0, 16.6059, 0.232026
1.5, 0.002, 0.171274, 0.0403135, 1.06638, 0.00988455, 16.6764, 0.358775
1.5, 0.004, 0.143499, 0.0524057, 1.06149, 0.0178071, 16.8305, 1.18836
1.5, 0.006, 0.109694, 0.0492502, 1.04064, 0.0391549, 20.894, 7.68853
1.5, 0.008, 0.134542, 0.0716282, 1.02073, 0.0547011, 32.2121, 16.7397
