speed, noise, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times, mean_max_cost, std_max_cost, mean_avg_cost, std_avg_cost
1, 0, 0.0440227, 0, 1.07309, 0, 16.1048, 0.560128, 0.199628, 2.77556e-17, 0.0141035, 0
1, 0.002, 0.0667203, 0.0289903, 1.07647, 0.0120208, 19.1581, 5.98349, 0.196801, 0.0193669, 0.0133261, 0.00144927
1, 0.004, 0.078391, 0.0476259, 1.06009, 0.042203, 28.8044, 10.3398, 0.191717, 0.0477717, 0.013383, 0.00367635
1, 0.006, 0.107721, 0.0503331, 1.05231, 0.0438182, 49.0715, 21.3853, 0.209531, 0.0529134, 0.0151862, 0.00492964
1, 0.008, 0.126269, 0.0613869, 1.03399, 0.0623585, 98.6475, 94.7148, 0.208645, 0.046834, 0.0156921, 0.00508501
1, 0.01, 0.109979, 0.0761798, 1.0405, 0.0667529, 117.085, 62.5721, 0.225145, 0.057806, 0.0193045, 0.00830622
1.5, 0, 0.166574, 0, 1.08521, 0, 31.9431, 0.404021, 0.174512, 2.77556e-17, 0.0101355, 0
1.5, 0.002, 0.150773, 0.0434936, 1.08587, 0.0111581, 31.9442, 0.379448, 0.174512, 2.77556e-17, 0.0101355, 0
1.5, 0.004, 0.155562, 0.0321851, 1.08075, 0.0234747, 32.4634, 1.29295, 0.181333, 0.0346114, 0.0107056, 0.00246128
1.5, 0.006, 0.162499, 0.0522593, 1.07946, 0.037796, 34.7064, 2.58848, 0.180266, 0.0628731, 0.0104683, 0.00305088
1.5, 0.008, 0.160651, 0.0699612, 1.06185, 0.0381717, 44.828, 9.73196, 0.185539, 0.059469, 0.010738, 0.0032002
1.5, 0.01, 0.16844, 0.0582888, 1.03568, 0.0837779, 59.4293, 23.0467, 0.222385, 0.0639403, 0.0133459, 0.00428345
2, 0, 0.286261, 0, 1.04638, 0, 8.49329, 0.230223, 0.0690339, 0, 0.00534197, 8.67362e-19
2, 0.002, 0.289886, 0.0220806, 1.04774, 0.00658886, 8.45005, 0.239595, 0.0690339, 0, 0.00534197, 8.67362e-19
2, 0.004, 0.289255, 0.0431546, 1.04682, 0.0129326, 8.47126, 0.198882, 0.0690339, 0, 0.00534197, 8.67362e-19
2, 0.006, 0.284856, 0.0617616, 1.04108, 0.0213137, 9.55401, 1.75097, 0.0997603, 0.049008, 0.00572326, 0.000714882
2, 0.008, 0.274414, 0.0635039, 1.02884, 0.0408103, 13.2001, 5.71512, 0.136159, 0.0627275, 0.00789029, 0.00289387
2, 0.01, 0.24273, 0.0874499, 1.04376, 0.0325492, 22.7196, 15.9037, 0.162999, 0.0571122, 0.00966521, 0.00323411
2.5, 0, 0.486283, 5.55112e-17, 1.12964, 0, 5.00031, 0.128073, 0.0395337, 0, 0.00253678, 0
2.5, 0.002, 0.477891, 0.0235034, 1.13044, 0.00766908, 5.0594, 0.124113, 0.0395337, 0, 0.00253678, 0
2.5, 0.004, 0.452004, 0.0438145, 1.12999, 0.0147407, 4.99678, 0.142809, 0.0395337, 0, 0.00253678, 0
2.5, 0.006, 0.420571, 0.069231, 1.12827, 0.0214844, 5.0375, 0.201604, 0.0395337, 0, 0.00253678, 0
2.5, 0.008, 0.386716, 0.0930376, 1.12509, 0.0287179, 5.1822, 0.493547, 0.0558097, 0.0360944, 0.00297418, 0.000953394
2.5, 0.01, 0.362073, 0.0872522, 1.12263, 0.039241, 7.54698, 4.78499, 0.0858612, 0.0598638, 0.00407612, 0.00192598
3, 0, 0.27143, 0, 1.07289, 0, 15.4837, 0.224122, 0.109595, 1.38778e-17, 0.00585486, 8.67362e-19
3, 0.002, 0.258339, 0.023583, 1.07314, 0.00633181, 15.3801, 0.385263, 0.109595, 1.38778e-17, 0.00585486, 8.67362e-19
