speed, noise, wait_time, mean_min_distance, std_min_distance, mean_avg_min_distance, std_avg_min_distance, avg_times, std_times, mean_max_cost, std_max_cost, mean_avg_cost, std_avg_cost
4, 0.004, 0.1, 0.447216, 0.0271737, 1.55072, 0.0230007, 4.1667, 0.17711, 0.0462469, 0, 0.00485324, 8.67362e-19
4, 0.004, 0.3, 0.447216, 0.0271737, 1.55072, 0.0230007, 6.62606, 0.115832, 0.0462469, 0, 0.00485324, 8.67362e-19
4, 0.004, 0.5, 0.447216, 0.0271737, 1.55072, 0.0230007, 9.10845, 0.162074, 0.0462469, 0, 0.00485324, 8.67362e-19
4, 0.004, 0.7, 0.447216, 0.0271737, 1.55072, 0.0230007, 11.8717, 0.149045, 0.0462469, 0, 0.00485324, 8.67362e-19
4, 0.004, 0.9, 0.447216, 0.0271737, 1.55072, 0.0230007, 14.5184, 0.13512, 0.0462469, 0, 0.00485324, 8.67362e-19
4.5, 0.004, 0.1, 0.477105, 0.0162269, 1.56778, 0.032966, 4.95434, 0.667247, 0.116754, 0.0243501, 0.00721021, 0.0014804
4.5, 0.004, 0.3, 0.477105, 0.0162269, 1.56778, 0.032966, 8.00211, 0.926492, 0.116754, 0.0243501, 0.00721021, 0.0014804
4.5, 0.004, 0.5, 0.477105, 0.0162269, 1.56778, 0.032966, 11.0583, 1.20461, 0.116754, 0.0243501, 0.00721021, 0.0014804
4.5, 0.004, 0.7, 0.477105, 0.0162269, 1.56778, 0.032966, 14.4493, 1.54268, 0.116754, 0.0243501, 0.00721021, 0.0014804
4.5, 0.004, 0.9, 0.477105, 0.0162269, 1.56778, 0.032966, 17.7102, 1.88916, 0.116754, 0.0243501, 0.00721021, 0.0014804
